,college,name,draft_rank,draft_year
573,San Diego State University,Kawhi Leonard,15,2011
574,University of Southern California,Nikola Vucevic,16,2011
575,Georgia Institute of Technology,Iman Shumpert,17,2011
576,Florida State University,Chris Singleton,18,2011
577,University of Tennessee,Tobias Harris,19,2011
578,Duke University,Nolan Smith,21,2011
579,Morehead State University,Kenneth Faried,22,2011
580,Boston College,Reggie Jackson,24,2011
581,Providence College,MarShon Brooks,25,2011
582,University of Texas at Austin,Jordan Hamilton,26,2011
583,Purdue University,JaJuan Johnson,27,2011
584,Cleveland State University,Norris Cole,28,2011
585,University of Texas at Austin,Cory Joseph,29,2011
586,Marquette University,Jimmy Butler,30,2011
587,University of Richmond,Justin Harper,32,2011
588,Duke University,Kyle Singler,33,2011
589,Butler University,Shelvin Mack,34,2011
590,"University of California, Los Angeles",Tyler Honeycutt,35,2011
591,University of Maryland,Jordan Williams,36,2011
592,University of Georgia,Trey Thompkins,37,2011
593,University of Florida,Chandler Parsons,38,2011
594,University of Wisconsin,Jon Leuer,40,2011
595,University of Michigan,Darius Morris,41,2011
596,"University of California, Los Angeles",Malcolm Lee,43,2011
597,Hofstra University,Charles Jenkins,44,2011
598,University of Kentucky,Josh Harrellson,45,2011
599,College of Charleston,Andrew Goudelock,46,2011
600,University of Georgia,Travis Leslie,47,2011
601,Oakland University,Keith Benson,48,2011
602,University of Kansas,Josh Selby,49,2011
603,Temple University,Lavoy Allen,50,2011
604,Ohio State University,Jon Diebler,51,2011
605,University of Florida,Vernon Macklin,52,2011
606,University of Kentucky,DeAndre Liggins,53,2011
607,Purdue University,E'Twaun Moore,55,2011
608,University of Washington,Isaiah Thomas,60,2011
609,University of Kentucky,Anthony Davis,1,2012
610,University of Kentucky,Michael Kidd-Gilchrist,2,2012
611,University of Florida,Bradley Beal,3,2012
612,Syracuse University,Dion Waiters,4,2012
613,University of Kansas,Thomas Robinson,5,2012
614,Weber State University,Damian Lillard,6,2012
615,University of North Carolina,Harrison Barnes,7,2012
616,University of Washington,Terrence Ross,8,2012
617,University of Connecticut,Andre Drummond,9,2012
618,Duke University,Austin Rivers,10,2012
619,University of Illinois at Urbana-Champaign,Meyers Leonard,11,2012
620,University of Connecticut,Jeremy Lamb,12,2012
621,University of North Carolina,Kendall Marshall,13,2012
622,University of North Carolina,John Henson,14,2012
623,St. John's University,Maurice Harkless,15,2012
624,Iowa State University,Royce White,16,2012
625,University of North Carolina,Tyler Zeller,17,2012
626,University of Kentucky,Terrence Jones,18,2012
627,St. Bonaventure University,Andrew Nicholson,19,2012
628,Ohio State University,Jared Sullinger,21,2012
629,Syracuse University,Fab Melo,22,2012
630,Vanderbilt University,John Jenkins,23,2012
631,Oregon State University,Jared Cunningham,24,2012
632,University of Washington,Tony Wroten,25,2012
633,Duke University,Miles Plumlee,26,2012
634,Mississippi State University,Arnett Moultrie,27,2012
635,Baylor University,Perry Jones,28,2012
636,University of Kentucky,Marquis Teague,29,2012
637,Vanderbilt University,Festus Ezeli,30,2012
638,Vanderbilt University,Jeff Taylor,31,2012
639,Florida State University,Bernard James,33,2012
640,Marquette University,Jae Crowder,34,2012
641,Michigan State University,Draymond Green,35,2012
642,"University of California, Santa Barbara",Orlando Johnson,36,2012
643,Baylor University,Quincy Acy,37,2012
644,Baylor University,Quincy Miller,38,2012
645,Texas A&M University,Khris Middleton,39,2012
646,University of Memphis,Will Barton,40,2012
647,University of Kansas,Tyshawn Taylor,41,2012
