,link,name,draft_rank,draft_year,seasons,per
246,/players/d/dickede01.html,Derrek Dickey,29.0,1973.0,5.0,12.4
247,/players/c/choneji01.html,Jim Chones,31.0,1973.0,10.0,12.4
248,/players/j/jonesca01.html,Caldwell Jones,32.0,1973.0,17.0,12.4
249,/players/m/melchga01.html,Gary Melchionni,33.0,1973.0,2.0,12.4
250,/players/h/hankiph01.html,Phil Hankinson,35.0,1973.0,2.0,12.4
251,/players/m/manakte01.html,Ted Manakas,36.0,1973.0,1.0,12.4
252,/players/o/obrieji02.html,Jim O'Brien,37.0,1973.0,,12.4
253,/players/c/charlke01.html,Ken Charles,38.0,1973.0,5.0,12.4
254,/players/r/reavejo01.html,Joe Reaves,42.0,1973.0,1.0,12.4
255,/players/l/lamarbo01.html,Bo Lamar,44.0,1973.0,4.0,12.4
256,/players/g/grayle01.html,Leonard Gray,45.0,1973.0,3.0,12.4
258,/players/k/kozelto01.html,Tom Kozelko,48.0,1973.0,3.0,12.4
259,/players/m/mcguial02.html,Allie McGuire,49.0,1973.0,1.0,12.4
260,/players/k/kenonla01.html,Larry Kenon,50.0,1973.0,10.0,12.4
261,/players/c/colemec01.html,E.C. Coleman,51.0,1973.0,6.0,12.4
262,/players/w/wittelu01.html,Luke Witte,57.0,1973.0,3.0,12.4
263,/players/r/robinro01.html,Ronnie Robinson,60.0,1973.0,,12.4
264,/players/k/kingro01.html,Ron King,63.0,1973.0,,12.4
265,/players/s/siblema01.html,Mark Sibley,64.0,1973.0,1.0,12.4
266,/players/k/karlge01.html,George Karl,66.0,1973.0,5.0,12.4
267,/players/r/rogerha01.html,Harry Rogers,67.0,1973.0,,12.4
268,/players/f/finchla01.html,Larry Finch,68.0,1973.0,,12.4
269,/players/r/royalre01.html,Reggie Royals,70.0,1973.0,,12.4
270,/players/c/coughjo01.html,John Coughran,74.0,1973.0,1.0,12.4
271,/players/c/carrml01.html,M.L. Carr,76.0,1973.0,10.0,12.4
272,/players/b/bellde01.html,Dennis Bell,83.0,1973.0,3.0,12.4
273,/players/m/macalmi01.html,Mike Macaluso,88.0,1973.0,1.0,12.4
274,/players/w/willijo01.html,John Williamson,96.0,1973.0,8.0,12.4
275,/players/n/neumajo01.html,Johnny Neumann,98.0,1973.0,7.0,12.4
276,/players/b/basseti01.html,Tim Bassett,106.0,1973.0,7.0,12.4
277,/players/h/harribi01.html,Billy Harris,115.0,1973.0,,12.4
278,/players/h/hawthna01.html,Nate Hawthorne,118.0,1973.0,3.0,12.4
279,/players/o/owensji01.html,Jim Owens,128.0,1973.0,2.0,12.4
280,/players/m/mcpipro01.html,Roy McPipe,136.0,1973.0,,12.4
282,/players/c/catchha01.html,Harvey Catchings,138.0,1973.0,11.0,12.4
284,/players/f/freemro01.html,Rod Freeman,166.0,1973.0,1.0,12.4
285,/players/g/garviji01.html,Jim Garvin,204.0,1973.0,1.0,12.4
