,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
326,University of Cincinnati,26,2005,77.0,Jason Maxiell,107.0,258,87.25
327,University of Missouri,27,2005,,Linas Kleiza,,,
328,University of Kansas,29,2005,79.25,Wayne Simien,107.0,256,84.0
329,University of Florida,30,2005,79.75,David Lee,106.5,230,84.0
330,University of Arizona,31,2005,,Salim Stoudamire,,,
331,Duke University,32,2005,,Daniel Ewing,,,
332,Louisiana State University,33,2005,78.25,Brandon Bass,106.5,246,86.5
333,Gonzaga University,37,2005,80.0,Ronny Turiaf,106.5,238,85.5
334,Marquette University,38,2005,71.75,Travis Diener,93.5,165,71.75
335,Florida State University,39,2005,,Von Wafer,,,
336,University of Pittsburgh,42,2005,80.5,Chris Taft,109.0,261,85.75
337,Indiana University,47,2005,73.25,Bracey Wright,100.5,187,82.0
338,Providence College,50,2005,78.5,Ryan Gomes,106.5,248,86.0
339,Walsh University,51,2005,80.0,Robert Whaley,108.0,269,86.0
340,University of Louisiana at Lafayette,53,2005,,Orien Greene,,,
341,"University of California, Los Angeles",54,2005,78.25,Dijon Thompson,105.5,196,81.75
342,Mississippi State University,55,2005,79.5,Lawrence Roberts,106.5,233,81.5
343,Pepperdine University,60,2005,75.75,Alex Acker,102.5,183,84.0
344,University of Texas at Austin,2,2006,82.0,LaMarcus Aldridge,110.0,234,88.75
345,Gonzaga University,3,2006,78.5,Adam Morrison,105.0,198,82.0
346,Louisiana State University,4,2006,79.25,Tyrus Thomas,108.0,217,87.0
347,Duke University,5,2006,79.5,Shelden Williams,104.0,258,88.25
348,University of Washington,6,2006,77.25,Brandon Roy,101.0,207,80.0
349,Villanova University,7,2006,74.25,Randy Foye,97.0,212,78.25
350,University of Connecticut,8,2006,79.0,Rudy Gay,107.2,222,87.0
351,Bradley University,9,2006,83.0,Patrick O'Bryant,113.0,249,89.75
352,Duke University,11,2006,76.0,J.J. Redick,97.5,190,75.25
353,University of Connecticut,12,2006,81.5,Hilton Armstrong,109.0,240,88.0
354,University of Arkansas,14,2006,77.75,Ronnie Brewer,103.5,223,83.25
355,North Carolina State University,15,2006,80.25,Cedric Simmons,108.5,223,88.25
356,University of Memphis,16,2006,76.5,Rodney Carney,103.5,204,82.0
357,University of Memphis,17,2006,79.25,Shawne Williams,104.0,227,87.0
358,Rutgers University,19,2006,,Quincy Douby,,,
359,University of South Carolina,20,2006,77.25,Renaldo Balkman,104.5,206,85.0
360,University of Kentucky,21,2006,,Rajon Rondo,,,
361,University of Connecticut,22,2006,,Marcus Williams,,,
362,University of Connecticut,23,2006,,Josh Boone,,,
363,Villanova University,24,2006,,Kyle Lowry,,,
364,Michigan State University,25,2006,,Shannon Brown,,,
365,"University of California, Los Angeles",26,2006,72.75,Jordan Farmar,94.5,171,75.0
366,Michigan State University,28,2006,75.25,Maurice Ager,101.5,203,79.75
367,Temple University,29,2006,76.25,Mardy Collins,103.0,224,82.0
368,University of Cincinnati,31,2006,,James White,,,
369,Marquette University,32,2006,80.0,Steve Novak,103.0,216,81.5
370,University of South Florida,33,2006,80.5,Solomon Jones,109.0,224,88.0
371,Michigan State University,34,2006,,Paul Davis,,,
372,University of Texas at Austin,35,2006,,P.J. Tucker,,,
373,Boston College,36,2006,77.5,Craig Smith,103.5,259,81.5
374,University of Washington,37,2006,77.75,Bobby Jones,101.5,211,81.5
375,University of North Carolina,39,2006,76.5,David Noel,100.0,223,81.5
376,University of Illinois at Urbana-Champaign,41,2006,80.25,James Augustine,104.0,227,84.25
377,University of Texas at Austin,42,2006,,Daniel Gibson,,,
378,Florida State University,45,2006,,Alexander Johnson,,,
379,University of Illinois at Urbana-Champaign,46,2006,71.0,Dee Brown,94.0,179,74.0
